nm0001015|AtB11
nm0001602|AtB11
nst1000|AtB11
nst2937|AtB11
nm0000274|AtB11
nst1001|GRH1
nst1902|GRH1
nst2800|GRH1
nst4300|GRH1
nst4226|ILd10
nst4934|ILd10
nst1002|ILd10
nm0001185|ILd10
nst3882|ILd10
nst1003|ILd10
nst6455|ILd10
nst5244|ILd10
nst4691|ILd10
nst1004|ILd10
nst1005|ILd10
nst2338|EBy10
nst1408|EBy10
nm0506891|EBy10
nst1006|EBy10
nst1007|EBy10
nst2143|EBy10
nst5802|EBy10
nst905|EBy10
nst1008|EBy10
nst1009|EBy10
nst1010|EBy10
nst1565|OlS12
nst5377|OlS12
nm0000435|OlS12
nm0000640|OlS12
nst1011|OlS12
nst6467|OlS12
nst2653|OlS12
nst1012|OlS12
nst4000|OlS12
nst1013|OlS12
nst6023|OlS12
nst1014|RWB42
nst1015|RWB42
nm0330101|RWB42
nst1016|RWB42
nst5390|SW21
nst1271|SW21
nm0001654|SW21
nst4837|SW21
nst1845|SW21
nst1069|SW21
nst1089|SW21
nst4501|SW21
nst1355|SW21
nst125|SW21
nst6049|SW21
nst1017|AWa5
nst1232|CBw28
nst2030|CBw28
nst3205|CBw28
nst1018|CMt10
nst1019|CMt10
nst5158|RrS10
nst1224|RrS10
nst6455|RrS10
nst645|RrS10
nst5990|RrS10
nst5296|WlD53
nst3448|WlD53
nst2853|WlD53
nst6210|WlD53
nst410|WlD53
nst1421|WlD53
nst1020|WlD53
nst3815|WlD53
nm0000606|LBe15
nm0000204|LBe15
nst1021|LBe15
nm0000138|RWc10
nm0000138|RWc10
nm0000460|RWc10
nst3660|RWc10
nst1022|GoM10
nm0728476|GoM10
nst6400|SP33
nst4896|SP33
nst3465|MP8
nst6109|MP8
nst3090|MP8
nst1268|MP8
nst1023|MP8
nst3438|MP8
nst6394|MP8
nst3792|MP8
nst1024|MP8
nst2876|MP8
nst3322|MP8
nst1025|MP8
nst1113|FRJ30
nst446|FRJ30
nst95|FRJ30
nst5761|FRJ30
nst3535|FRJ30
nst2235|FRJ30
nm0000191|DBo10
nm0001971|DBo10
nst1026|DBo10
nm0001015|DBo10
nm0531808|DBo10
nm0376602|DBo10
